year,gr_arop,eu_arop,eu_arop_source,gr_arop_rank,n_countries_arop,gr_subjective_poverty,great_difficulty,difficulty,eu_subjective_poverty,eu_subjective_poverty_source,gr_subj_rank,n_countries_subj,gr_eu_arop_gap,gr_eu_subjective_gap,eu_composition,gr_arope_combined_all_countries,eu_arope_combined_all_countries,eu_arope_combined_all_countries_src,gr_arope_legacy_all_countries,eu_arope_legacy_all_countries,eu_arope_legacy_all_countries_src,gr_arope_new_all_countries,eu_arope_new_all_countries,eu_arope_new_all_countries_src,gr_arrears,eu_arrears,eu_arrears_src,gr_cannot_keep_home_warm,eu_cannot_keep_home_warm,eu_cannot_keep_home_warm_src,gr_consumption_pc,eu_consumption_pc,eu_consumption_pc_src,gr_employment_rate_20_64,eu_employment_rate_20_64,eu_employment_rate_20_64_src,gr_hicp_food_rate,eu_hicp_food_rate,eu_hicp_food_rate_src,gr_hicp_headline_rate,eu_hicp_headline_rate,eu_hicp_headline_rate_src,gr_hicp_housing_energy_rate,eu_hicp_housing_energy_rate,eu_hicp_housing_energy_rate_src,gr_housing_cost_overburden,eu_housing_cost_overburden,eu_housing_cost_overburden_src,gr_migration_nationals_panel,eu_migration_nationals_panel,eu_migration_nationals_panel_src,gr_minimum_wage_eur_month,eu_minimum_wage_eur_month,eu_minimum_wage_eur_month_src,gr_panel_aic_pps,eu_panel_aic_pps,eu_panel_aic_pps_src,gr_panel_arop_before_transfers,eu_panel_arop_before_transfers,eu_panel_arop_before_transfers_src,gr_panel_arrears,eu_panel_arrears,eu_panel_arrears_src,gr_panel_debt_to_income,eu_panel_debt_to_income,eu_panel_debt_to_income_src,gr_panel_deprivation,eu_panel_deprivation,eu_panel_deprivation_src,gr_panel_financial_expectations,eu_panel_financial_expectations,eu_panel_financial_expectations_src,gr_panel_gdp,eu_panel_gdp,eu_panel_gdp_src,gr_panel_gdp_history_2008_2024,eu_panel_gdp_history_2008_2024,eu_panel_gdp_history_2008_2024_src,gr_panel_gdp_pps,eu_panel_gdp_pps,eu_panel_gdp_pps_src,gr_panel_hicp_index,eu_panel_hicp_index,eu_panel_hicp_index_src,gr_panel_housing_overburden,eu_panel_housing_overburden,eu_panel_housing_overburden_src,gr_panel_nominal_compensation,eu_panel_nominal_compensation,eu_panel_nominal_compensation_src,gr_panel_saving_rate,eu_panel_saving_rate,eu_panel_saving_rate_src,gr_panel_unemployment,eu_panel_unemployment,eu_panel_unemployment_src,gr_panel_unexpected_expenses,eu_panel_unexpected_expenses,eu_panel_unexpected_expenses_src,gr_real_gdp_pc,eu_real_gdp_pc,eu_real_gdp_pc_src,gr_real_hh_income_idx2008,eu_real_hh_income_idx2008,eu_real_hh_income_idx2008_src,gr_real_wage_idx2008,eu_real_wage_idx2008,eu_real_wage_idx2008_src,gr_severe_mat_deprivation_legacy,eu_severe_mat_deprivation_legacy,eu_severe_mat_deprivation_legacy_src,gr_severe_mat_soc_deprivation_new,eu_severe_mat_soc_deprivation_new,eu_severe_mat_soc_deprivation_new_src,gr_unemployment_rate,eu_unemployment_rate,eu_unemployment_rate_src,gr_unexpected_expenses_inability,eu_unexpected_expenses_inability,eu_unexpected_expenses_inability_src,gr_arop_threshold_nominal_eur,hicp_cum_index,hicp_cum_index_2008base,gr_arop_threshold_real_2008eur,gr_arop_threshold_real_idx2008
2013,23.1,16.8,EU27_2020,1,28,78.30000000000001,39.6,38.7,30.0,EU27_2020,1,28,6.300000000000001,48.30000000000001,EU28,35.7,24.6,EU27_2020,35.7,24.6,EU27_2020,,,,45.3,12.9,EU27_2020,29.5,10.8,EU27_2020,11000,13790,EU27_2020,52.5,66.8,EU27_2020,0.2,2.5,EU27_2020,-0.9,1.3,EU27_2020,4.4,2.0,EU27_2020,36.9,11.6,EU27_2020,67057.0,,,684,,,,,,,,,,,,,,,,,,,,,,,,15800.0,28740.0,EU27_2020,,,,102.54,,,,,,22006.7,,,,,,,,,,,,15800,28740,EU27_2020,64.23,97.16,EU27_2020,78.9403909028064,,,20.3,9.8,EU27_2020,,,,27.8,11.6,EU27_2020,47.1,39.7,EU27_2020,5023,,1.0944850168463096,4589.373013504983,70.82365761581764
2014,22.1,17.3,EU27_2020,3,28,78.1,39.5,38.6,28.9,EU27_2020,1,28,4.800000000000001,49.2,EU28,36.0,24.5,EU27_2020,36.0,24.5,EU27_2020,,,,46.4,12.9,EU27_2020,32.9,10.4,EU27_2020,11080,13930,EU27_2020,53.1,67.6,EU27_2020,-1.7,-0.2,EU27_2020,-1.4,0.4,EU27_2020,-2.9,0.7,EU27_2020,44.9,11.5,EU27_2020,59525.0,,,684,,,,,,,,,,,,,,,,,,,,,,,,16030.0,29180.0,EU27_2020,,,,101.11,,,,,,21044.2,,,,,,,,,,,,16030,29180,EU27_2020,65.89,98.17,EU27_2020,76.55542517900324,,,21.5,9.1,EU27_2020,,,,26.6,11.0,EU27_2020,51.8,39.0,EU27_2020,4608,,1.0791622266104612,4269.978958097207,65.89473700767296
2015,21.4,17.4,EU27_2020,7,28,77.7,38.2,39.5,27.1,EU27_2020,1,28,4.0,50.6,EU28,35.7,23.8,EU27_2020,35.7,23.8,EU27_2020,32.4,24.0,EU27_2020,49.3,11.8,EU27_2020,29.2,9.6,EU27_2020,11200,14230,EU27_2020,54.8,68.5,EU27_2020,1.6,0.3,EU27_2020,-1.1,0.1,EU27_2020,-7.0,-0.5,EU27_2020,45.5,11.2,EU27_2020,60516.0,,,684,,,14769.7,18666.2,EU27_2020,52.9,44.7,EU27_2020,49.3,11.8,EU27_2020,94.35,,,17.6,9.7,EU27_2020,-40.575,2.225,EU27_2020,16100.0,29810.0,EU27_2020,16100.0,29810.0,EU27_2020,19100.0,27800.0,EU27_2020,100.0,,,45.5,11.2,EU27_2020,20909.1,,,-1.63,11.48,EU27_2020,25.0,10.2,EU27_2020,53.4,37.4,EU27_2020,16100,29810,EU27_2020,67.79,100.06,EU27_2020,76.90826292095072,,,22.2,8.4,EU27_2020,17.6,9.7,EU27_2020,25.0,10.2,EU27_2020,53.4,37.4,EU27_2020,4512,,1.0672914421177462,4227.523825214205,65.23956520392292
2016,21.2,17.5,EU27_2020,7,28,76.80000000000001,40.6,36.2,25.3,EU27_2020,1,28,3.6999999999999993,51.500000000000014,EU28,35.6,23.7,EU27_2020,35.6,23.7,EU27_2020,32.6,23.7,EU27_2020,47.9,10.6,EU27_2020,29.1,9.0,EU27_2020,11280,14500,EU27_2020,55.9,69.7,EU27_2020,-0.1,0.5,EU27_2020,0.0,0.2,EU27_2020,-3.2,-0.8,EU27_2020,40.5,10.9,EU27_2020,61368.0,,,684,,,14785.5,19099.5,EU27_2020,52.9,44.7,EU27_2020,47.9,10.6,EU27_2020,92.06,,,18.4,9.0,EU27_2020,-58.6,2.5,EU27_2020,16160.0,30330.0,EU27_2020,16160.0,30330.0,EU27_2020,19100.0,28500.0,EU27_2020,100.02,,,40.5,10.9,EU27_2020,20142.5,,,-2.24,11.74,EU27_2020,23.9,9.3,EU27_2020,53.6,36.2,EU27_2020,16160,30330,EU27_2020,67.88,102.26,EU27_2020,74.07372497623857,,,22.4,7.9,EU27_2020,18.4,9.0,EU27_2020,23.9,9.3,EU27_2020,53.6,36.2,EU27_2020,4500,,1.0672914421177462,4216.2804107854445,65.0660557219976
2017,20.2,16.9,EU27_2020,8,28,77.19999999999999,39.9,37.3,22.0,EU27_2020,1,28,3.3000000000000007,55.19999999999999,EU28,34.8,22.5,EU27_2020,34.8,22.5,EU27_2020,32.2,22.4,EU27_2020,44.9,9.3,EU27_2020,25.7,8.1,EU27_2020,11600,14800,EU27_2020,57.4,70.9,EU27_2020,0.2,2.1,EU27_2020,1.1,1.6,EU27_2020,1.8,1.8,EU27_2020,39.6,10.1,EU27_2020,60816.0,,,684,,,15372.2,19781.0,EU27_2020,50.8,43.8,EU27_2020,44.9,9.3,EU27_2020,88.09,,,18.3,7.8,EU27_2020,-54.7,3.283333333333333,EU27_2020,16430.0,31140.0,EU27_2020,16430.0,31140.0,EU27_2020,19700.0,29700.0,EU27_2020,101.15,,,39.6,10.1,EU27_2020,20347.3,,,-4.26,11.57,EU27_2020,21.8,8.3,EU27_2020,52.7,34.0,EU27_2020,16430,31140,EU27_2020,68.39,103.99,EU27_2020,73.9909432623188,,,21.1,6.9,EU27_2020,18.3,7.8,EU27_2020,21.8,8.3,EU27_2020,52.7,34.0,EU27_2020,4560,,1.0790316479810413,4226.011357991346,65.21622466036028
2018,18.5,16.8,EU27_2020,10,28,74.1,38.2,35.9,21.5,EU27_2020,1,28,1.6999999999999993,52.599999999999994,EU28,31.8,21.6,EU27_2020,31.8,21.6,EU27_2020,30.3,21.7,EU27_2020,43.0,8.9,EU27_2020,22.7,7.6,EU27_2020,11880,15050,EU27_2020,59.0,71.9,EU27_2020,0.4,1.9,EU27_2020,0.8,1.8,EU27_2020,-0.3,2.5,EU27_2020,39.5,9.6,EU27_2020,57495.0,,,684,,,15833.2,20398.6,EU27_2020,50.0,43.7,EU27_2020,43.0,8.9,EU27_2020,90.38,,,16.1,7.1,EU27_2020,-41.36666666666667,3.1999999999999997,EU27_2020,16810.0,31730.0,EU27_2020,16810.0,31730.0,EU27_2020,20200.0,30600.0,EU27_2020,101.94,,,39.5,9.6,EU27_2020,19649.7,,,-7.01,11.58,EU27_2020,19.7,7.4,EU27_2020,50.4,32.2,EU27_2020,16810,31730,EU27_2020,68.3,105.77,EU27_2020,70.90044444517471,,,16.7,6.1,EU27_2020,16.1,7.1,EU27_2020,19.7,7.4,EU27_2020,50.4,32.2,EU27_2020,4718,,1.0876639011648896,4337.737048133174,66.94038654526503
2019,17.9,16.5,EU27_2020,9,27,71.0,37.7,33.3,18.5,EU27_2020,1,27,1.3999999999999986,52.5,EU28,30.0,20.9,EU27_2020,30.0,20.9,EU27_2020,29.0,21.1,EU27_2020,41.4,8.2,EU27_2020,17.9,6.9,EU27_2020,12210,15250,EU27_2020,60.8,72.7,EU27_2020,-0.2,2.1,EU27_2020,0.5,1.4,EU27_2020,0.1,1.8,EU27_2020,36.2,9.4,EU27_2020,53415.0,,,684,,,16372.1,20973.3,EU27_2020,48.4,43.0,EU27_2020,41.4,8.2,EU27_2020,81.88,,,15.8,6.7,EU27_2020,-12.033333333333331,4.066666666666667,EU27_2020,17210.0,32270.0,EU27_2020,17210.0,32270.0,EU27_2020,20800.0,31700.0,EU27_2020,102.46,,,36.2,9.4,EU27_2020,19609.5,,,-2.42,12.21,EU27_2020,17.9,6.8,EU27_2020,47.8,30.8,EU27_2020,17210,32270,EU27_2020,73.3,107.97,EU27_2020,70.3962996648845,,,16.2,5.4,EU27_2020,15.8,6.7,EU27_2020,17.9,6.8,EU27_2020,47.8,30.8,EU27_2020,4917,,1.093102220670714,4498.2069444365325,69.4167738338971
2020,17.7,16.7,EU27_2020,9,27,69.80000000000001,36.1,33.7,19.799999999999997,EU27_2020,1,27,1.0,50.000000000000014,EU27 (post-Brexit),28.8,21.5,EU27_2020,28.8,21.5,EU27_2020,27.4,21.5,EU27_2020,36.9,8.8,EU27_2020,17.1,7.5,EU27_2020,11480,14180,EU27_2020,58.3,71.7,EU27_2020,1.6,2.5,EU27_2020,-1.3,0.7,EU27_2020,-4.1,-0.1,EU27_2020,33.3,7.8,EU27_2020,41111.0,,,758,,,15474.7,20062.0,EU27_2020,48.3,43.3,EU27_2020,36.9,8.8,EU27_2020,82.09,,,14.9,6.7,EU27_2020,-26.691666666666663,-1.6583333333333332,EU27_2020,15660.0,30500.0,EU27_2020,15660.0,30500.0,EU27_2020,18900.0,30500.0,EU27_2020,101.17,,,33.3,7.8,EU27_2020,19520.5,,,0.65,18.29,EU27_2020,17.6,7.2,EU27_2020,50.7,32.5,EU27_2020,15660,30500,EU27_2020,71.04,108.02,EU27_2020,70.97033417606995,,,16.6,5.9,EU27_2020,14.9,6.7,EU27_2020,17.6,7.2,EU27_2020,50.7,32.5,EU27_2020,5269,,1.0788918918019947,4883.71452231379,75.36596485052146
2021,19.6,16.8,EU27_2020,8,27,71.0,39.0,32.0,18.3,EU27_2020,1,27,2.8000000000000007,52.7,EU27 (post-Brexit),28.3,21.7,EU27_2020,,,,28.3,21.7,EU27_2020,36.4,8.9,EU27_2020,17.5,6.9,EU27_2020,12130,14870,EU27_2020,62.6,73.1,EU27_2020,1.5,1.6,EU27_2020,0.6,2.9,EU27_2020,5.4,4.8,EU27_2020,28.8,8.7,EU27_2020,41505.0,,,758,,,16771.9,21610.0,EU27_2020,48.2,45.1,EU27_2020,36.4,8.9,EU27_2020,76.31,,,13.9,6.3,EU27_2020,-26.858333333333334,1.4833333333333334,EU27_2020,17110.0,32470.0,EU27_2020,17110.0,32470.0,EU27_2020,21200.0,33300.0,EU27_2020,101.75,,,28.8,8.7,EU27_2020,19836.0,,,4.43,16.25,EU27_2020,14.7,7.1,EU27_2020,46.3,30.2,EU27_2020,17110,32470,EU27_2020,78.03,110.75,EU27_2020,71.7063050536619,,,,,,13.9,6.3,EU27_2020,14.7,7.1,EU27_2020,46.3,30.2,EU27_2020,5251,,1.0853652431528067,4838.002721320532,74.66053582284772
2022,18.8,16.5,EU27_2020,8,27,68.4,36.8,31.6,19.0,EU27_2020,1,27,2.3000000000000007,49.400000000000006,EU27 (post-Brexit),26.3,21.6,EU27_2020,,,,26.3,21.6,EU27_2020,45.5,9.2,EU27_2020,18.7,9.3,EU27_2020,13320,15520,EU27_2020,66.3,74.6,EU27_2020,11.7,11.9,EU27_2020,9.3,9.2,EU27_2020,25.0,18.0,EU27_2020,26.7,8.7,EU27_2020,40151.0,,,774,,,19402.0,23816.3,EU27_2020,46.1,43.5,EU27_2020,45.5,9.2,EU27_2020,66.73,,,13.9,6.7,EU27_2020,-49.425,-12.908333333333331,EU27_2020,18160.0,33420.0,EU27_2020,18160.0,33420.0,EU27_2020,24000.0,36100.0,EU27_2020,111.21,,,26.7,8.7,EU27_2020,20232.0,,,-4.99,12.67,EU27_2020,12.5,6.2,EU27_2020,43.6,31.6,EU27_2020,18160,33420,EU27_2020,78.05,111.08,EU27_2020,66.91641073804509,,,,,,13.9,6.7,EU27_2020,12.5,6.2,EU27_2020,43.6,31.6,EU27_2020,5712,,1.1863042107660178,4814.9538273253365,74.30484301427988
2023,18.9,16.2,EU27_2020,9,27,67.0,36.7,30.3,19.1,EU27_2020,1,27,2.6999999999999993,47.9,EU27 (post-Brexit),26.1,21.3,EU27_2020,,,,26.1,21.3,EU27_2020,47.3,9.3,EU27_2020,19.2,10.6,EU27_2020,13670,15490,EU27_2020,67.4,75.3,EU27_2020,11.6,12.6,EU27_2020,4.2,6.4,EU27_2020,-8.8,3.4,EU27_2020,28.5,8.8,EU27_2020,36931.0,,,832,,,20701.1,25233.7,EU27_2020,45.1,42.9,EU27_2020,47.3,9.3,EU27_2020,60.53,,,13.5,6.8,EU27_2020,-35.625,-6.141666666666667,EU27_2020,18600.0,33390.0,EU27_2020,18600.0,33390.0,EU27_2020,26300.0,38400.0,EU27_2020,115.84,,,28.5,8.8,EU27_2020,20907.5,,,-2.44,13.57,EU27_2020,11.1,6.1,EU27_2020,44.3,31.2,EU27_2020,18600,33390,EU27_2020,82.07,111.9,EU27_2020,66.38672114077802,,,,,,13.5,6.8,EU27_2020,11.1,6.1,EU27_2020,44.3,31.2,EU27_2020,6030,,1.2361289876181905,4878.13170017053,75.27981018781682
2024,19.6,16.2,EU27_2020,7,27,66.7,35.4,31.3,17.4,EU27_2020,1,27,3.400000000000002,49.3,EU27 (post-Brexit),26.9,21.0,EU27_2020,,,,26.9,21.0,EU27_2020,42.8,9.2,EU27_2020,19.0,9.2,EU27_2020,14020,15680,EU27_2020,69.3,75.7,EU27_2020,3.1,2.3,EU27_2020,3.0,2.6,EU27_2020,1.6,1.9,EU27_2020,28.9,8.2,EU27_2020,32141.0,,,910,,,21309.9,26342.1,EU27_2020,45.0,42.7,EU27_2020,42.8,9.2,EU27_2020,58.18,,,14.0,6.4,EU27_2020,-43.24166666666667,-1.8916666666666664,EU27_2020,19020.0,33700.0,EU27_2020,19020.0,33700.0,EU27_2020,27400.0,40000.0,EU27_2020,119.31,,,28.9,8.2,EU27_2020,22114.4,,,-2.51,14.52,EU27_2020,10.1,6.0,EU27_2020,43.9,30.0,EU27_2020,19020,33700,EU27_2020,84.13,114.52,EU27_2020,68.17670026845553,,,,,,14.0,6.4,EU27_2020,10.1,6.0,EU27_2020,43.9,30.0,EU27_2020,6510,,1.2732128572467363,5113.049214785321,78.90508047508212
2025,19.6,16.3,EU27_2020,4,27,67.2,35.0,32.2,17.6,EU27_2020,1,27,3.3000000000000007,49.6,EU27 (post-Brexit),27.5,20.9,EU27_2020,,,,27.5,20.9,EU27_2020,41.8,9.2,EU27_2020,18.1,8.8,EU27_2020,14290,15900,EU27_2020,71.0,76.1,EU27_2020,2.3,3.3,EU27_2020,2.9,2.5,EU27_2020,5.5,2.8,EU27_2020,26.4,7.7,EU27_2020,,,,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400,34100,EU27_2020,,115.57,EU27_2020,,,,,,,14.9,6.3,EU27_2020,8.9,6.0,EU27_2020,50.5,29.2,EU27_2020,7020,,1.3101360301068916,5358.2222293567875,82.68861465056771
