geo,year,fin_expectations
DK,2022,-4.966666666666667
DK,2023,1.9666666666666668
DK,2024,2.841666666666667
EA20,2015,2.0083333333333333
EA20,2016,1.9666666666666668
EA20,2017,2.6750000000000003
EA20,2018,2.5
EA20,2019,3.391666666666667
EA20,2020,-2.091666666666667
EA20,2021,1.3166666666666667
EA20,2022,-12.091666666666667
EA20,2023,-5.8999999999999995
EA20,2024,-2.25
EA21,2015,1.9000000000000001
EA21,2016,1.875
EA21,2017,2.591666666666667
EA21,2018,2.4250000000000003
EA21,2019,3.2583333333333333
EA21,2020,-2.1750000000000003
EA21,2021,1.2666666666666668
EA21,2022,-12.158333333333333
EA21,2023,-5.9750000000000005
EA21,2024,-2.316666666666667
EE,2015,3.6333333333333333
EE,2016,4.408333333333333
EE,2017,5.2250000000000005
EE,2018,4.5
EE,2019,6.808333333333334
EE,2020,0.9583333333333334
EE,2021,-0.4333333333333334
EE,2022,-25.09166666666667
EE,2023,-23.05
EE,2024,-25.816666666666666
EL,2015,-40.574999999999996
EL,2016,-58.6
EL,2017,-54.699999999999996
EL,2018,-41.36666666666667
EL,2019,-12.033333333333333
EL,2020,-26.691666666666666
EL,2021,-26.858333333333334
EL,2022,-49.425000000000004
EL,2023,-35.625
EL,2024,-43.24166666666667
ES,2015,20.158333333333335
ES,2016,18.175
ES,2017,18.808333333333334
ES,2018,17.416666666666668
ES,2019,18.166666666666668
ES,2020,5.558333333333334
ES,2021,14.533333333333333
ES,2022,-1.1416666666666666
ES,2023,8.216666666666667
ES,2024,13.075000000000001
EU27_2020,2015,2.225
EU27_2020,2016,2.5
EU27_2020,2017,3.283333333333333
EU27_2020,2018,3.1999999999999997
EU27_2020,2019,4.066666666666667
EU27_2020,2020,-1.6583333333333332
EU27_2020,2021,1.4833333333333334
EU27_2020,2022,-12.908333333333333
EU27_2020,2023,-6.141666666666667
EU27_2020,2024,-1.8916666666666666
FI,2015,6.691666666666666
FI,2016,7.283333333333334
FI,2017,10.266666666666667
FI,2018,11.241666666666667
FI,2019,8.700000000000001
FI,2020,7.75
FI,2021,11.108333333333334
FI,2022,0.9750000000000001
FI,2023,4.666666666666667
FI,2024,6.125
FR,2015,-7.658333333333334
FR,2016,-6.458333333333333
FR,2017,-5.883333333333333
FR,2018,-9.566666666666666
FR,2019,-4.7
FR,2020,-6.108333333333333
FR,2021,-3.5500000000000003
FR,2022,-13.016666666666667
FR,2023,-10.658333333333333
FR,2024,-6.858333333333333
HR,2015,-4.55
HR,2016,-2.8000000000000003
HR,2017,-1.2
HR,2018,4.425
HR,2019,7.541666666666667
HR,2020,-2.25
HR,2021,2.1083333333333334
HR,2022,-12.708333333333334
HR,2023,-3.716666666666667
HR,2024,1.366666666666667
HU,2015,-6.016666666666667
HU,2016,-2.65
HU,2017,-0.2666666666666667
HU,2018,3.7750000000000004
HU,2019,2.408333333333333
HU,2020,-10.65
HU,2021,-3.8333333333333335
HU,2022,-25.666666666666668
HU,2023,-22.641666666666666
HU,2024,-13.058333333333332
IE,2015,9.700000000000001
IE,2016,12.983333333333334
IE,2017,14.091666666666667
IE,2018,14.891666666666666
IE,2019,9.041666666666666
IE,2020,1.9666666666666666
IE,2021,9.825
IE,2022,-16.541666666666668
IE,2023,-5.741666666666667
IE,2024,3.608333333333333
IT,2015,-2.2666666666666666
IT,2016,-2.058333333333333
IT,2017,-3.2416666666666667
IT,2018,-0.8916666666666666
IT,2019,-2.408333333333333
IT,2020,-4.636363636363637
IT,2021,-0.5333333333333333
IT,2022,-12.975000000000001
IT,2023,-7.7
IT,2024,-7.308333333333334
LT,2015,-0.35000000000000003
LT,2016,0.4916666666666667
LT,2017,-0.8166666666666668
LT,2018,3.6833333333333336
LT,2019,7.366666666666666
LT,2020,2.4166666666666665
LT,2021,5.758333333333333
LT,2022,-4.016666666666667
LT,2023,5.483333333333333
LT,2024,10.266666666666667
LU,2015,-2.125
LU,2016,3.0416666666666665
LU,2017,3.891666666666667
LU,2018,4.741666666666666
LU,2019,4.966666666666667
LU,2020,-3.3166666666666664
LU,2021,-0.5750000000000001
LU,2022,-16.7
LU,2023,-4.8500000000000005
LU,2024,-1.7750000000000001
LV,2015,8.041666666666666
LV,2016,6.808333333333334
LV,2017,5.291666666666667
LV,2018,7.508333333333333
LV,2019,7.55
LV,2020,1.05
LV,2021,3.8333333333333335
LV,2022,-16.64166666666667
LV,2023,-8.033333333333333
LV,2024,1.2416666666666665
ME,2015,-0.26666666666666666
ME,2016,4.608333333333333
ME,2017,2.725
ME,2018,5.125
ME,2019,4.375
ME,2020,-4.2
ME,2021,7.625
ME,2022,-1.2333333333333332
ME,2023,12.950000000000001
ME,2024,10.133333333333333
MK,2015,4.6000000000000005
MK,2016,9.208333333333334
MK,2017,13.475
MK,2018,6.566666666666666
MK,2019,7.7
MK,2020,-5.009090909090909
MK,2021,-3.725
MK,2022,-25.125
MK,2023,-11.616666666666667
MK,2024,11.341666666666667
MT,2015,5.116666666666666
MT,2016,5.058333333333334
MT,2017,9.016666666666667
MT,2018,16.675
MT,2019,11.275
MT,2020,1.3416666666666668
MT,2021,7.25
MT,2022,-11.783333333333333
MT,2023,-10.466666666666667
MT,2024,-1.0333333333333334
NL,2015,2.9250000000000003
NL,2016,1.5083333333333335
NL,2017,5.491666666666667
NL,2018,4.2749999999999995
NL,2019,0.31666666666666665
NL,2020,-1.875
NL,2021,2.575
NL,2022,-12.383333333333333
NL,2023,-3.3666666666666667
NL,2024,0.6166666666666667
PL,2015,-4.041666666666667
PL,2016,1.0333333333333334
PL,2017,0.9583333333333334
PL,2018,3.6333333333333333
PL,2019,6.25
PL,2020,-8.433333333333334
PL,2021,-8.233333333333333
PL,2022,-31.291666666666668
PL,2023,-13.575000000000001
PL,2024,-6.325
PT,2015,-2.6750000000000003
PT,2016,-0.6083333333333333
PT,2017,3.4250000000000003
PT,2018,4.125
PT,2019,2.3833333333333333
PT,2020,-8.383333333333333
PT,2021,-3.0083333333333333
PT,2022,-18.599999999999998
PT,2023,-13.708333333333334
PT,2024,-2.8083333333333336
RO,2015,9.383333333333333
RO,2016,11.058333333333332
RO,2017,13.108333333333334
RO,2018,6.266666666666667
RO,2019,10.658333333333333
RO,2020,4.175
RO,2021,7.391666666666667
RO,2022,-7.1000000000000005
RO,2023,1.9583333333333333
RO,2024,7.091666666666666
RS,2015,2.6416666666666666
RS,2016,4.866666666666666
RS,2017,8.983333333333333
RS,2018,15.008333333333333
RS,2019,18.708333333333332
RS,2020,13.866666666666667
RS,2021,9.858333333333333
RS,2022,-5.875
RS,2023,0.4916666666666667
RS,2024,7.375
SE,2015,8.716666666666667
SE,2016,9.566666666666666
SE,2017,11.041666666666666
SE,2018,11.225
SE,2019,10.825000000000001
SE,2020,11.049999999999999
SE,2021,12.975
SE,2022,-7.041666666666667
SE,2023,-3.4416666666666664
SE,2024,11.4
SI,2015,-6.216666666666666
SI,2016,-8.283333333333333
SI,2017,-3.716666666666667
SI,2018,-0.5333333333333333
SI,2019,-2.2666666666666666
SI,2020,-16.01666666666667
SI,2021,-12.466666666666667
SI,2022,-29.974999999999998
SI,2023,-24.53333333333333
SI,2024,-16.691666666666666
SK,2015,-4.641666666666667
SK,2016,-2.558333333333333
SK,2017,-1.325
SK,2018,-0.9500000000000001
SK,2019,-0.6916666666666668
SK,2020,-10.758333333333333
SK,2021,-8.691666666666666
SK,2022,-18.5
SK,2023,-13.558333333333332
SK,2024,-7.133333333333333
TR,2015,-9.416666666666666
TR,2016,-9.533333333333333
TR,2017,-11.325000000000001
TR,2018,-14.85
TR,2019,-22.866666666666664
TR,2020,-21.55
TR,2021,-21.5
TR,2022,-30.349999999999998
TR,2023,-21.183333333333334
TR,2024,-20.825
