geo,time,arop_before_transfers
IT,2018,45.8
IT,2019,45.0
IT,2020,44.9
IT,2021,48.5
IT,2022,46.4
IT,2023,46.6
IT,2024,46.8
LT,2015,42.8
LT,2016,42.0
LT,2017,42.3
LT,2018,41.8
LT,2019,42.9
LT,2020,41.0
LT,2021,42.5
LT,2022,40.7
LT,2023,40.9
LT,2024,40.3
LU,2015,44.7
LU,2016,44.4
LU,2017,44.9
LU,2018,47.4
LU,2019,46.1
LU,2020,47.4
LU,2021,42.9
LU,2022,40.9
LU,2023,40.9
LU,2024,40.5
LV,2015,40.9
LV,2016,40.2
LV,2017,39.9
LV,2018,39.1
LV,2019,39.3
LV,2020,38.4
LV,2021,40.5
LV,2022,40.7
LV,2023,40.6
LV,2024,37.8
ME,2015,45.2
ME,2016,44.3
ME,2017,46.7
ME,2018,45.0
ME,2019,42.9
ME,2020,41.4
ME,2021,42.4
ME,2022,40.7
ME,2023,40.9
ME,2024,40.5
MK,2015,40.5
MK,2016,41.6
MK,2017,40.7
MK,2018,40.8
MK,2019,41.1
MK,2020,42.1
MK,2021,43.9
MK,2022,41.6
MK,2023,40.0
MK,2024,39.4
MT,2015,37.4
MT,2016,37.7
MT,2017,37.5
MT,2018,37.0
MT,2019,36.8
MT,2020,35.1
MT,2021,36.2
MT,2022,35.1
MT,2023,33.6
MT,2024,32.7
NL,2015,39.1
NL,2016,38.4
NL,2017,37.9
NL,2018,37.9
NL,2019,37.3
NL,2020,37.2
NL,2021,37.9
NL,2022,36.9
NL,2023,37.0
NL,2024,36.6
NO,2015,40.3
NO,2016,40.9
NO,2017,41.2
NO,2018,42.5
NO,2019,40.0
NO,2020,40.4
NO,2021,41.2
NO,2022,39.5
NO,2023,36.5
NO,2024,40.5
PL,2015,43.6
PL,2016,43.1
PL,2017,43.6
PL,2018,44.4
PL,2019,43.9
PL,2020,43.9
PL,2021,43.7
PL,2022,43.4
PL,2023,42.7
PL,2024,45.4
PT,2015,47.5
PT,2016,46.1
PT,2017,45.2
PT,2018,43.7
PT,2019,43.4
PT,2020,42.4
PT,2021,43.5
PT,2022,42.5
PT,2023,41.8
PT,2024,40.3
RO,2015,49.5
RO,2016,49.5
RO,2017,47.5
RO,2018,45.9
RO,2019,45.2
RO,2020,44.6
RO,2021,45.9
RO,2022,45.0
RO,2023,47.1
RO,2024,41.4
RS,2015,52.2
RS,2016,52.1
RS,2017,51.3
RS,2018,48.7
RS,2019,46.9
RS,2020,45.9
RS,2021,46.3
RS,2022,42.0
RS,2023,41.9
RS,2024,41.6
SE,2015,44.7
SE,2016,45.0
SE,2017,44.3
SE,2018,44.3
SE,2019,44.0
SE,2020,43.7
SE,2021,44.6
SE,2022,41.4
SE,2023,40.8
SE,2024,40.2
SI,2015,42.5
SI,2016,41.2
SI,2017,41.5
SI,2018,40.5
SI,2019,39.2
SI,2020,39.4
SI,2021,40.3
SI,2022,38.0
SI,2023,37.5
SI,2024,38.2
SK,2015,38.1
SK,2016,37.9
SK,2017,37.4
SK,2018,37.1
SK,2019,37.2
SK,2020,37.4
SK,2021,41.5
SK,2022,43.4
SK,2023,41.4
SK,2024,46.9
TR,2015,39.6
TR,2016,40.5
TR,2017,39.9
TR,2018,40.0
TR,2019,41.2
TR,2020,40.3
TR,2021,42.8
TR,2022,40.4
TR,2023,38.2
TR,2024,38.4
UK,2015,44.2
UK,2016,42.7
UK,2017,43.1
UK,2018,43.1
XK,2018,39.0
XK,2019,38.2
